# id;timestamp;commentText;codeText;commentWords;codeWords
JobExecutionException -> public boolean isJobCanceledByUser();1405024514;Returns <code>true</code> if the job has been aborted as a result of a user request, <code>false</code>_otherwise.__@return <code>true</code> if the job has been aborted as a result of a user request, <code>false</code> otherwise;public boolean isJobCanceledByUser() {__		return this.canceledByUser__	};returns,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise,return,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise;public,boolean,is,job,canceled,by,user,return,this,canceled,by,user
JobExecutionException -> public boolean isJobCanceledByUser();1405090423;Returns <code>true</code> if the job has been aborted as a result of a user request, <code>false</code>_otherwise.__@return <code>true</code> if the job has been aborted as a result of a user request, <code>false</code> otherwise;public boolean isJobCanceledByUser() {__		return this.canceledByUser__	};returns,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise,return,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise;public,boolean,is,job,canceled,by,user,return,this,canceled,by,user
JobExecutionException -> public boolean isJobCanceledByUser();1411473593;Returns <code>true</code> if the job has been aborted as a result of a user request, <code>false</code>_otherwise.__@return <code>true</code> if the job has been aborted as a result of a user request, <code>false</code> otherwise;public boolean isJobCanceledByUser() {__		return this.canceledByUser__	};returns,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise,return,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise;public,boolean,is,job,canceled,by,user,return,this,canceled,by,user
JobExecutionException -> public JobExecutionException(final String msg, final boolean canceledByUser);1405024514;Constructs a new job execution exception.__@param msg_the message that shall be encapsulated by this exception_@param canceledByUser_<code>true</code> if the job has been aborted as a result of a user request, <code>false</code> otherwise;public JobExecutionException(final String msg, final boolean canceledByUser) {_		super(msg)___		this.canceledByUser = canceledByUser__	};constructs,a,new,job,execution,exception,param,msg,the,message,that,shall,be,encapsulated,by,this,exception,param,canceled,by,user,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise;public,job,execution,exception,final,string,msg,final,boolean,canceled,by,user,super,msg,this,canceled,by,user,canceled,by,user
JobExecutionException -> public JobExecutionException(final String msg, final boolean canceledByUser);1405090423;Constructs a new job execution exception.__@param msg_the message that shall be encapsulated by this exception_@param canceledByUser_<code>true</code> if the job has been aborted as a result of a user request, <code>false</code> otherwise;public JobExecutionException(final String msg, final boolean canceledByUser) {_		super(msg)___		this.canceledByUser = canceledByUser__	};constructs,a,new,job,execution,exception,param,msg,the,message,that,shall,be,encapsulated,by,this,exception,param,canceled,by,user,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise;public,job,execution,exception,final,string,msg,final,boolean,canceled,by,user,super,msg,this,canceled,by,user,canceled,by,user
JobExecutionException -> public JobExecutionException(final String msg, final boolean canceledByUser);1411473593;Constructs a new job execution exception.__@param msg_the message that shall be encapsulated by this exception_@param canceledByUser_<code>true</code> if the job has been aborted as a result of a user request, <code>false</code> otherwise;public JobExecutionException(final String msg, final boolean canceledByUser) {_		super(msg)___		this.canceledByUser = canceledByUser__	};constructs,a,new,job,execution,exception,param,msg,the,message,that,shall,be,encapsulated,by,this,exception,param,canceled,by,user,code,true,code,if,the,job,has,been,aborted,as,a,result,of,a,user,request,code,false,code,otherwise;public,job,execution,exception,final,string,msg,final,boolean,canceled,by,user,super,msg,this,canceled,by,user,canceled,by,user
JobExecutionException -> public JobExecutionException(final JobID jobID, final String msg, final Throwable cause);1424369222;Constructs a new job execution exception.__@param msg The cause for the execution exception._@param cause The cause of the exception;public JobExecutionException(final JobID jobID, final String msg, final Throwable cause) {_		super(msg, cause)___		this.jobID = jobID__	};constructs,a,new,job,execution,exception,param,msg,the,cause,for,the,execution,exception,param,cause,the,cause,of,the,exception;public,job,execution,exception,final,job,id,job,id,final,string,msg,final,throwable,cause,super,msg,cause,this,job,id,job,id
JobExecutionException -> public JobExecutionException(final JobID jobID, final String msg, final Throwable cause);1424732907;Constructs a new job execution exception.__@param msg The cause for the execution exception._@param cause The cause of the exception;public JobExecutionException(final JobID jobID, final String msg, final Throwable cause) {_		super(msg, cause)___		this.jobID = jobID__	};constructs,a,new,job,execution,exception,param,msg,the,cause,for,the,execution,exception,param,cause,the,cause,of,the,exception;public,job,execution,exception,final,job,id,job,id,final,string,msg,final,throwable,cause,super,msg,cause,this,job,id,job,id
JobExecutionException -> public JobExecutionException(final JobID jobID, final String msg, final Throwable cause);1427784999;Constructs a new job execution exception.__@param msg The cause for the execution exception._@param cause The cause of the exception;public JobExecutionException(final JobID jobID, final String msg, final Throwable cause) {_		super(msg, cause)___		this.jobID = jobID__	};constructs,a,new,job,execution,exception,param,msg,the,cause,for,the,execution,exception,param,cause,the,cause,of,the,exception;public,job,execution,exception,final,job,id,job,id,final,string,msg,final,throwable,cause,super,msg,cause,this,job,id,job,id
JobExecutionException -> public JobExecutionException(JobID jobID, String msg, Throwable cause);1440951699;Constructs a new job execution exception.__@param msg The cause for the execution exception._@param cause The cause of the exception;public JobExecutionException(JobID jobID, String msg, Throwable cause) {_		super(msg, cause)__		this.jobID = jobID__	};constructs,a,new,job,execution,exception,param,msg,the,cause,for,the,execution,exception,param,cause,the,cause,of,the,exception;public,job,execution,exception,job,id,job,id,string,msg,throwable,cause,super,msg,cause,this,job,id,job,id
JobExecutionException -> public JobExecutionException(JobID jobID, String msg, Throwable cause);1442944546;Constructs a new job execution exception.__@param msg The cause for the execution exception._@param cause The cause of the exception;public JobExecutionException(JobID jobID, String msg, Throwable cause) {_		super(msg, cause)__		this.jobID = jobID__	};constructs,a,new,job,execution,exception,param,msg,the,cause,for,the,execution,exception,param,cause,the,cause,of,the,exception;public,job,execution,exception,job,id,job,id,string,msg,throwable,cause,super,msg,cause,this,job,id,job,id
JobExecutionException -> public JobExecutionException(JobID jobID, String msg, Throwable cause);1504172257;Constructs a new job execution exception.__@param msg The cause for the execution exception._@param cause The cause of the exception;public JobExecutionException(JobID jobID, String msg, Throwable cause) {_		super(msg, cause)__		this.jobID = jobID__	};constructs,a,new,job,execution,exception,param,msg,the,cause,for,the,execution,exception,param,cause,the,cause,of,the,exception;public,job,execution,exception,job,id,job,id,string,msg,throwable,cause,super,msg,cause,this,job,id,job,id
JobExecutionException -> public JobExecutionException(JobID jobID, String msg, Throwable cause);1550594264;Constructs a new job execution exception.__@param msg The cause for the execution exception._@param cause The cause of the exception;public JobExecutionException(JobID jobID, String msg, Throwable cause) {_		super(msg, cause)__		this.jobID = jobID__	};constructs,a,new,job,execution,exception,param,msg,the,cause,for,the,execution,exception,param,cause,the,cause,of,the,exception;public,job,execution,exception,job,id,job,id,string,msg,throwable,cause,super,msg,cause,this,job,id,job,id
