commented;modifiers;parameterAmount;loc;comment;code
false;public,static;1;3;;public static FollowInfoResponse fromXContent(XContentParser parser) {     return PARSER.apply(parser, null). }
false;public;0;3;;public List<FollowerInfo> getInfos() {     return infos. }
false;public;1;7;;@Override public boolean equals(Object o) {     if (this == o)         return true.     if (o == null || getClass() != o.getClass())         return false.     FollowInfoResponse that = (FollowInfoResponse) o.     return infos.equals(that.infos). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(infos). }
false;public;0;3;;public String getFollowerIndex() {     return followerIndex. }
false;public;0;3;;public String getRemoteCluster() {     return remoteCluster. }
false;public;0;3;;public String getLeaderIndex() {     return leaderIndex. }
false;public;0;3;;public Status getStatus() {     return status. }
false;public;0;3;;public FollowConfig getParameters() {     return parameters. }
false;public;1;11;;@Override public boolean equals(Object o) {     if (this == o)         return true.     if (o == null || getClass() != o.getClass())         return false.     FollowerInfo that = (FollowerInfo) o.     return Objects.equals(followerIndex, that.followerIndex) && Objects.equals(remoteCluster, that.remoteCluster) && Objects.equals(leaderIndex, that.leaderIndex) && status == that.status && Objects.equals(parameters, that.parameters). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(followerIndex, remoteCluster, leaderIndex, status, parameters). }
false;public;0;3;;public String getName() {     return name. }
false;public,static;1;10;;public static Status fromString(String value) {     switch(value) {         case "active":             return Status.ACTIVE.         case "paused":             return Status.PAUSED.         default:             throw new IllegalArgumentException("unexpected status value [" + value + "]").     } }
